All,Barcha
None,Yo'q
"Allowed Scopes","Ruxsat berilgan qismlar"
"You need more permissions to apply some of the rule updates.","Ayrim siyosat yangilanishlarini qo'llash uchun sizga ko'proq ruxsatnomalar kerak."
"You need more permissions to access website ""%1"".","""%1"" veb-saytiga kirish uchun ko'proq ruxsatnomalar kerak."
"Role Scopes","Rollarni o'rni"
Custom,Boshqa
"Read Details","Batafsil ma'lumot"
"Mark as Read","O'qilgan deb belgilash"
"Are you sure?","Ishonchingiz komilmi?"
Remove,O'chirish
"Messages Inbox","Kirish xabarlari qutisi"
"You have %1 new system messages","Sizda %1 ta yangi tizim xabarlari mavjud"
"You have %1 new system message","Sizda %1 ta yangi tizim xabarlari mavjud"
"Incoming Message","Kiruvchi xabar"
close,yopish
Notifications,Bildirishnomalar
"The message has been marked as Read.","Xabar o'qilgan deb belgilandi."
"We couldn't mark the notification as Read because of an error.","Bildirishnomani xatolik tufayli o'qib bo'lmadi."
"Please select messages.","Xabarlarni tanlang."
"A total of %1 record(s) have been marked as Read.","Jami %1 yozuv(lar) o'qilgan deb belgilandi."
"Total of %1 record(s) have been removed.","Jami %1 yozuv(lar) olib tashlandi."
"We couldn't remove the messages because of an error.","Xatolar tufayli xabarlarni olib tashlab bo'lmadi."
"The message has been removed.","Xabar o'chirildi."
"You have viewed and resolved all recent system notices. Please refresh the web page to clear the notice alert.","Siz so'nggi tizim xabarlarini ko'rib chiqdingiz va hal qildingiz. Iltimos bildirishnomani o'chirish uchun veb-sahifani yangilang."
"1 Hour","1 Soat"
"2 Hours","2 Soat"
"6 Hours","6 Soat"
"12 Hours","12 Soat"
"24 Hours","24 Soat"
critical,"juda muhim"
major,katta
minor,kichik
notice,ogohlantirish
"Wrong message type","Noto'g'ri xabar turi"
"Wrong notification ID specified.","Noto'g'ri bildirishnoma identifikatori ko'rsatildi."
"{{base_url}} is not recommended to use in a production environment to declare the Base Unsecure URL / Base Secure URL. We highly recommend changing this value in your Magento <a href=""%1"">configuration</a>.","{{base_url}} - ishlab chiqarish muhitida foydalanishga tavsiya etilmaydi. Ushbu qiymatni Magento <a href=""%1"">configuration</a> da o'zgartirishni tavsiya etamiz."
"One or more of the Cache Types are invalidated: %1. ","Bir yoki bir nechta kesh turlari bekor qilindi: %1. "
"Please go to <a href=""%1"">Cache Management</a> and refresh cache types.","Iltimos, <a href=""%1""> keshni boshqarish </a> ga o'ting va kesh turlarini yangilang."
"We were unable to synchronize one or more media files. Please refer to the log file for details.","Bir yoki bir nechta media fayllarni sinxronlash imkoniga ega emasmiz. Ma'lumotlar uchun jurnal fayliga murojaat qiling."
"Synchronization of media storages has been completed.","Ombor omborlarini sinxronlash tugallandi."
"Your web server is set up incorrectly and allows unauthorized access to sensitive files. Please contact your hosting provider.","Veb-serveringiz noto'g'ri konfiguratsiya qilingan va maxfiy fayllarga ruxsatsiz kirishga ruxsat beradi. Xost provayderingizga murojaat qiling."
"System Messages:","Tizim xabarlari:"
"Critical System Messages","Muhim tizim xabarlari"
"Major System Messages","Asosiy tizim xabarlari"
"System messages","Tizim xabarlari"
Close,Yoping
"See All (","Hammaga qarang ("
" unread)"," o'qilmagan)"
"Show Toolbar","Asboblar panelini ko'rsatish"
"Show List","Ro'yxatni ko'rsatish"
"Use HTTPS to Get Feed","Ovqatni olish uchun HTTPS-dan foydalaning"
"Update Frequency","Chastotani yangilash"
"Last Update","Oxirgi yangilash"
Severity,Zo'ravonlik
"Date Added","Sana qo'shildi"
Message,Xabar
Actions,Amallar
"Manage Shopping Cart","Savatchani boshqarish"
"Create Order","Buyurtma yarating"
Back,Orqaga
"Add Products","Mahsulot qo'shish"
"Update Items and Quantities","Mahsulotlar va miqdorlarni yangilash"
"Are you sure you want to clear your cart?","Chindan ham savatni tozalashni xohlaysizmi?"
"Clear my shopping cart","Savatchani tozalash"
"Add selections to my cart","Savatchaga tanlangan qo'shish"
Cancel,"Bekor qilish"
"Shopping Cart for %1 in %2","Savatcha %1 va %2 uchun"
"Select products you want to buy","Sotib olmoqchi bo'lgan mahsulotlarni tanlang"
Product,Mahsulot
Price,Narx
Quantity,Miqdor
"Products in the Comparison List (%1)","Taqqoslash ro'yxatidagi ma'lumotlar (%1)"
"Last ordered items (%1)","So'nggi paytdagi buyurtmalar (%1)"
Products,Mahsulotlar
"Recently Compared Products (%1)","So'nggi taqqoslangan mahsulotlar (%1)"
"Recently Viewed Products (%1)","So'nggi ko'rilgan mahsulotlar (%1)"
"Add to Shopping Cart by SKU","Savatchaga qo'shish"
"Add to Shopping Cart","Savatchaga qo'shish"
"Wish List (%1)","Tanlanganlar ro'yxati (%1)"
Apply,Tasdiqlash
Configure,Konfiguratsiya
"Add to Order by SKU","SKU tartibida buyurtma qo'shish"
"Add to Order","Buyurtma qo'shish"
"Add Products to Order","Buyurtma bo'yicha mahsulot qo'shish"
"<span><span id=""sku-attention-num"">%1</span> product(s) require attention.</span>","<span><span id=""sku-attention-num"">%1</span> mahsulot (lar) e'tiborni talab qiladi.</span>"
"Remove All","Barchasini o'chirish"
"Only %1%2%3 left in stock","Aksiya bo'yicha faqat %1%2%3 qolgan"
"You can buy up to %1 of these per purchase.","Har bir xaritda %1 gacha xarid qilishingiz mumkin."
"You must buy at least %1 of these per purchase.","Har xarid uchun kamida %1 sotib olishingiz kerak."
"Specify the product's options.","Mahsulot turlarini belgilang."
"Alert me when this item is available.","Mahsulot mavjud bo'lganda menga xabar qiling."
"Shopping cart management is disabled for this customer.","Ushbu mijoz uchun savatchani boshqarish o'chirib qo'yilgan."
Customers,Xaridorlar
"Shopping Cart",Savatcha
"You do not have access to this.","Bunga sizda ruxsat yo'q."
"An error has occurred. See error log for details.","Xatolik yuz berdi. Tafsilotlar uchun xatolar jurnaliga qarang."
"You cannot configure a product.","Siz mahsulotni sozlay olmaysiz."
"You removed the items.","Siz narsalarni o'chirib tashladingiz."
"You removed the item.","Siz narsalarni o'chirib tashladingiz."
"You added %1 to your shopping cart.","%1 ta mahsulot savatchaga qo'shildi."
"You cannot add a product.","Siz mahsulotni qo'sha olmaysiz."
"Order by SKU","SKU bo'yicha buyurtma"
"The SKU was not found in the catalog.","SKU katalogda topilmadi."
"Availability: Out of stock.","Mavjudligi: Sotib bo'lingan."
"You need to choose options for your item.","Siz elementni tanlashingiz kerak."
"Please enter an actual number in the ""Qty"" field.","Iltimos, ""Miqdor"" maydoniga haqiqiy raqamni kiriting."
"This product is assigned to another website.","Ushbu mahsulot boshqa veb-saytga beriladi."
"You can add only enabled products.","Faqatgina mavjud mahsulotlarni qo'shishingiz mumkin."
"You cannot upload this file.","Ushbu faylni yuklay olmaysiz."
"The file is empty.","Fayl bo'sh."
"You have not entered a product SKU. Please <a href=""%1"">click here</a> to add product(s) by SKU.","SKU mahsulotiga kirmadingiz. Mahsulot (lar) ni SKU-ga qo'shish uchun <a href=""%1""> bu yerni bosing </a>."
"You have not entered a product SKU.","Siz mahsulot raqamini ko'rsatmadingiz."
"We can't add a product to cart by id ""%1"".","""%1"" ID bo'yicha mahsulotni savat qo'shishning iloji yo'q."
"Something went wrong while reordering this product.","Ushbu mahsulotni qayta belgilashda xatolik yuz berdi."
"You added %1 product to your shopping cart.","%1 mahsulotni savatchaga qo'shdingiz."
"You added %1 products to your shopping cart.","Siz savatchangizga %1 mahsulot qo'shdingiz."
"%1 product requires your attention.","%1 mahsulotga e'tibor qaratishingizni so'raymiz."
"%1 products require your attention.","%1 mahsulotlarga e'tibor qaratishingizni so'raymiz."
"Yes, for Specified Customer Groups","Ha, belgilanganlar mijoz guruhlari uchun"
"Yes, for Everyone","Ha, hamma uchun"
No,Yo'q
"Please upload the file in .csv format.","Faylni .csv formatida yuklab qo'ying."
"%1 item(s) need your attention.","%1 ta mahsulot(lar) ga e'tibor qaratishingiz talab qiladi."
"Apply Coupon Code","Kupon kodini qo'llash"
"Remove Coupon Code","Kupon kodini o'chirish"
"The coupon code ""%1"" is not valid.","""%1"" kupon kodi haqiqiy emas."
"Shopping Cart Items","Mahsulotlar savatchasi"
Qty,Soni
Subtotal,"Jami summ"
Discount,Chegirma
"Row Subtotal","Umumiy satrlar"
Action,Harakat
"No ordered items","Buyurtmalar mavjud emas"
"Total %1 product(s)","Jami %1 mahsulot (lar)"
Subtotal:,"Qidiruv summasi:"
"Please select","Iltimos tanlang"
"Move to Wish List","Tanlanganlar ro'yxatiga qo'shish"
"No item specified.","Hech narsa ko'rsatilmagan."
"Are you sure you want to remove this item?","Ushbu narsani o'chirishni xohlaysizmi?"
"SKU number","SKU raqami"
"Upload File","Faylni yuklash"
"Your csv file must include ""sku"" and ""qty"" columns.","Sizning CSV faylida ""sku"" va ""qty"" ustunlari bo'lishi kerak."
Reset,"Qayta o'rnatish"
